fecha;anio;division;apellido;nombre;estado
21/08/2026;1;1;Acosta;Julián;Presente
21/08/2026;1;1;Benítez;Sofía;Presente
21/08/2026;1;1;Cabrera;Felipe;Presente
21/08/2026;1;1;Castro;Martina;Presente
21/08/2026;1;1;Delgado;Emma;Presente
21/08/2026;1;1;Espinoza;Clara;Presente
21/08/2026;1;1;Fernández;Mateo;Presente
21/08/2026;1;1;Fuentes;Valeria;Presente
21/08/2026;1;1;Gómez;María;Presente
21/08/2026;1;1;González;Martina;Presente
21/08/2026;1;1;Ibáñez;Renata;Presente
21/08/2026;1;1;Lamadrid;Pedro;Presente
21/08/2026;1;1;Lara;Bruno;Presente
21/08/2026;1;1;Medina;Paula;Presente
21/08/2026;1;1;Méndez;Gabriel;Presente
21/08/2026;1;1;Molina;Santiago;Presente
21/08/2026;1;1;Morales;Joaquín;Presente
21/08/2026;1;1;Navarro;Thiago;Presente
21/08/2026;1;1;Ortega;Benjamín;Ausente
21/08/2026;1;1;Peralta;Tomás;Presente
21/08/2026;1;1;Pérez;Juan;Presente
21/08/2026;1;1;Ríos;Victoria;Presente
21/08/2026;1;1;Romero;Lucía;Presente
21/08/2026;1;1;Rossi;Valentina;Presente
21/08/2026;1;1;Ruiz;Elena;Presente
21/08/2026;1;1;Santoro;Mía;Presente
21/08/2026;1;1;Silva;Lucas;Presente
21/08/2026;1;1;Sucre;Diego;Presente
21/08/2026;1;1;Torres;Camila;Presente
21/08/2026;1;1;Vega;Nicolás;Presente
